L	lambda	gamma	beta	log10_omega_bar	log10_chi	k	log10_kappa_1	log10_kappa_2
um	1	1	1	1	1	S/m	1	1
132	20.7	16.7	0.887	-3.16	-0.607	16.7	-3.77	1.79
148	20.7	16.7	0.887	-3.16	-0.607	16.7	-3.77	1.79
132	27.6	16.7	0.887	-3.16	-0.607	16.7	-3.77	1.79
132	20.7	13.8	0.887	-3.16	-0.607	16.7	-3.77	1.79
132	20.7	16.7	0.862	-3.16	-0.607	16.7	-3.77	1.79
132	20.7	16.7	0.887	-3.61	-0.607	16.7	-3.77	1.79
132	20.7	16.7	0.887	-3.16	-0.347	16.7	-3.77	1.79
132	20.7	16.7	0.887	-3.16	-0.607	24.8	-3.77	1.79
132	20.7	16.7	0.887	-3.16	-0.607	16.7	-2.36	1.79
132	20.7	16.7	0.887	-3.16	-0.607	16.7	-3.77	2.53
132	27.6	13.8	0.862	-3.61	-0.347	24.8	-2.36	2.53
148	20.7	13.8	0.862	-3.61	-0.347	24.8	-2.36	2.53
148	27.6	16.7	0.862	-3.61	-0.347	24.8	-2.36	2.53
148	27.6	13.8	0.887	-3.61	-0.347	24.8	-2.36	2.53
148	27.6	13.8	0.862	-3.16	-0.347	24.8	-2.36	2.53
148	27.6	13.8	0.862	-3.61	-0.607	24.8	-2.36	2.53
148	27.6	13.8	0.862	-3.61	-0.347	16.7	-2.36	2.53
148	27.6	13.8	0.862	-3.61	-0.347	24.8	-3.77	2.53
148	27.6	13.8	0.862	-3.61	-0.347	24.8	-2.36	1.79
148	27.6	13.8	0.862	-3.61	-0.347	24.8	-2.36	2.53
107	25.5	11.2	0.838	-2.73	-1.12	7.04	-2.51	2.44
49.7	25.5	11.2	0.838	-2.73	-1.12	7.04	-2.51	2.44
107	21.2	11.2	0.838	-2.73	-1.12	7.04	-2.51	2.44
107	25.5	9.7	0.838	-2.73	-1.12	7.04	-2.51	2.44
107	25.5	11.2	0.875	-2.73	-1.12	7.04	-2.51	2.44
107	25.5	11.2	0.838	-2.79	-1.12	7.04	-2.51	2.44
107	25.5	11.2	0.838	-2.73	-1.53	7.04	-2.51	2.44
107	25.5	11.2	0.838	-2.73	-1.12	14.8	-2.51	2.44
107	25.5	11.2	0.838	-2.73	-1.12	7.04	-4.78	2.44
107	25.5	11.2	0.838	-2.73	-1.12	7.04	-2.51	1.68
107	21.2	9.7	0.875	-2.79	-1.53	14.8	-4.78	1.68
49.7	25.5	9.7	0.875	-2.79	-1.53	14.8	-4.78	1.68
49.7	21.2	11.2	0.875	-2.79	-1.53	14.8	-4.78	1.68
49.7	21.2	9.7	0.838	-2.79	-1.53	14.8	-4.78	1.68
49.7	21.2	9.7	0.875	-2.73	-1.53	14.8	-4.78	1.68
49.7	21.2	9.7	0.875	-2.79	-1.12	14.8	-4.78	1.68
49.7	21.2	9.7	0.875	-2.79	-1.53	7.04	-4.78	1.68
49.7	21.2	9.7	0.875	-2.79	-1.53	14.8	-2.51	1.68
49.7	21.2	9.7	0.875	-2.79	-1.53	14.8	-4.78	2.44
49.7	21.2	9.7	0.875	-2.79	-1.53	14.8	-4.78	1.68
59.8	11.5	14.1	0.938	-2.11	-1.8	20.2	-3.49	2.78
